"","exporter_iso3","industry_id","GL","setor","renda"
"137","AFG",26,0.592879872712808,"Não-serviços","Renda não-alta"
"138","AFG",27,0.000620843028885876,"Não-serviços","Renda não-alta"
"139","AFG",31,0.263275947851162,"Não-serviços","Renda não-alta"
"140","AFG",34,0.285907534010339,"Não-serviços","Renda não-alta"
"141","AFG",35,0.0377758259368834,"Não-serviços","Renda não-alta"
"142","AFG",36,0.63360390587642,"Não-serviços","Renda não-alta"
"143","AFG",37,7.40597562081113e-05,"Não-serviços","Renda não-alta"
"144","AFG",38,0.00118640136927306,"Não-serviços","Renda não-alta"
"145","AFG",39,0.000338051078669577,"Não-serviços","Renda não-alta"
"146","AFG",41,0.000296914581109586,"Não-serviços","Renda não-alta"
"147","AFG",42,0.00788840109241062,"Não-serviços","Renda não-alta"
"148","AFG",43,0.0007862663432886,"Não-serviços","Renda não-alta"
"149","AFG",44,0.00267993082072115,"Não-serviços","Renda não-alta"
"150","AFG",45,0.00784534937600057,"Não-serviços","Renda não-alta"
"151","AFG",46,0.00254746787488835,"Não-serviços","Renda não-alta"
"152","AFG",47,0.0680343448908697,"Não-serviços","Renda não-alta"
"153","AFG",48,4.63646780635152e-05,"Não-serviços","Renda não-alta"
"154","AFG",50,0.00595624646959547,"Não-serviços","Renda não-alta"
"155","AFG",51,0.0171494793695408,"Não-serviços","Renda não-alta"
"156","AFG",52,0.0139404935395163,"Não-serviços","Renda não-alta"
"157","AFG",53,0.00954107991565434,"Não-serviços","Renda não-alta"
"158","AFG",54,0.552164390779476,"Não-serviços","Renda não-alta"
"159","AFG",55,0.00225058118205901,"Não-serviços","Renda não-alta"
"160","AFG",56,0.0667717243356886,"Não-serviços","Renda não-alta"
"161","AFG",57,0.00433687694411666,"Não-serviços","Renda não-alta"
"162","AFG",58,0.0094900305811727,"Não-serviços","Renda não-alta"
"163","AFG",59,NA,"Não-serviços","Renda não-alta"
"164","AFG",60,0.119128681453079,"Não-serviços","Renda não-alta"
"165","AFG",61,0.0333114981301412,"Não-serviços","Renda não-alta"
"166","AFG",62,0.00650632373230542,"Não-serviços","Renda não-alta"
"167","AFG",63,0.00137246681094105,"Não-serviços","Renda não-alta"
"168","AFG",64,0.000481584698348025,"Não-serviços","Renda não-alta"
"169","AFG",65,5.77794856373437e-05,"Não-serviços","Renda não-alta"
"170","AFG",67,0.404112223917225,"Não-serviços","Renda não-alta"
"171","AFG",68,0.0997033397526872,"Não-serviços","Renda não-alta"
"172","AFG",69,0.00387021369271401,"Não-serviços","Renda não-alta"
"173","AFG",70,0.00428204530961407,"Não-serviços","Renda não-alta"
"174","AFG",71,0.0906430090973901,"Não-serviços","Renda não-alta"
"175","AFG",72,0.0242821460129271,"Não-serviços","Renda não-alta"
"176","AFG",74,0.0123477491926338,"Não-serviços","Renda não-alta"
"177","AFG",75,0.0358598779062501,"Não-serviços","Renda não-alta"
"178","AFG",79,0.00129822262017432,"Não-serviços","Renda não-alta"
"179","AFG",81,0.0268366914420025,"Não-serviços","Renda não-alta"
"180","AFG",83,0.193901782941952,"Não-serviços","Renda não-alta"
"181","AFG",84,0.00044738459541549,"Não-serviços","Renda não-alta"
"182","AFG",85,0.000497445883575365,"Não-serviços","Renda não-alta"
"183","AFG",86,0.0172264901719794,"Não-serviços","Renda não-alta"
"184","AFG",87,0.00628755491336563,"Não-serviços","Renda não-alta"
"185","AFG",88,0.0818307116483737,"Não-serviços","Renda não-alta"
"186","AFG",89,0.106484000014803,"Não-serviços","Renda não-alta"
"187","AFG",90,0.000507009926089541,"Não-serviços","Renda não-alta"
"188","AFG",91,0.0105050027825186,"Não-serviços","Renda não-alta"
"189","AFG",92,0.0332503788275618,"Não-serviços","Renda não-alta"
"190","AFG",93,0.00223047505746266,"Não-serviços","Renda não-alta"
"191","AFG",94,0.0216429204961779,"Não-serviços","Renda não-alta"
"192","AFG",95,0.00284189367158794,"Não-serviços","Renda não-alta"
"193","AFG",96,0.000177789440627074,"Não-serviços","Renda não-alta"
"194","AFG",97,0.000165735892154073,"Não-serviços","Renda não-alta"
"195","AFG",98,0.00257660025901196,"Não-serviços","Renda não-alta"
"196","AFG",99,0.187898481389202,"Não-serviços","Renda não-alta"
"197","AFG",100,0.0244468323438121,"Não-serviços","Renda não-alta"
"198","AFG",101,0.00280136628631267,"Não-serviços","Renda não-alta"
"199","AFG",102,0.479938967984496,"Não-serviços","Renda não-alta"
"200","AFG",103,0.0288316209142084,"Não-serviços","Renda não-alta"
"201","AFG",104,0.0146313554755072,"Não-serviços","Renda não-alta"
"202","AFG",105,0.0220051533600215,"Não-serviços","Renda não-alta"
"203","AFG",107,0.0333349464591027,"Não-serviços","Renda não-alta"
"204","AFG",108,0.00949040042115123,"Não-serviços","Renda não-alta"
"205","AFG",109,0.00128898505797448,"Não-serviços","Renda não-alta"
"206","AFG",110,0.00138594781763302,"Não-serviços","Renda não-alta"
"207","AFG",111,0.0268021584093007,"Não-serviços","Renda não-alta"
"208","AFG",112,0.00433862514127081,"Não-serviços","Renda não-alta"
"209","AFG",113,0.0739204123237672,"Não-serviços","Renda não-alta"
"210","AFG",114,0.028875691361523,"Não-serviços","Renda não-alta"
"211","AFG",115,0.0112061034549032,"Não-serviços","Renda não-alta"
"212","AFG",116,0.043511547576957,"Não-serviços","Renda não-alta"
"213","AFG",118,0.471823163696359,"Não-serviços","Renda não-alta"
"214","AFG",119,0.0431815427591801,"Não-serviços","Renda não-alta"
"215","AFG",120,0.000117894442597244,"Não-serviços","Renda não-alta"
"216","AFG",121,0.000119685229379107,"Não-serviços","Renda não-alta"
"217","AFG",122,0.0098601623703598,"Não-serviços","Renda não-alta"
"218","AFG",123,0.00654008941241579,"Não-serviços","Renda não-alta"
"219","AFG",124,0.006782221122974,"Não-serviços","Renda não-alta"
"220","AFG",125,0.0132673018234808,"Não-serviços","Renda não-alta"
"221","AFG",126,0.0255775364963842,"Não-serviços","Renda não-alta"
"222","AFG",127,0.00207358486978682,"Não-serviços","Renda não-alta"
"223","AFG",128,0.00331991618846239,"Não-serviços","Renda não-alta"
"224","AFG",129,0.013189258290465,"Não-serviços","Renda não-alta"
"225","AFG",130,0.027167956786154,"Não-serviços","Renda não-alta"
"226","AFG",131,0.0387432384411892,"Não-serviços","Renda não-alta"
